DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
7/6/2017 17:40,30.17,52.03,4.926,432.1,110.4,35567.84053,22993.67089,25299.41423
9/8/2017 6:20,19.37,90.6,0.307,0.073,0.13,24352.56637,15200.8316,10937.52809
7/9/2017 19:50,29.97,33.98,4.916,70.7,72.5,41857.27575,28765.82278,38801.67364
3/9/2017 3:00,12.34,85.3,0.076,0.055,0.163,23272.85106,13547.56098,14533.54839
1/14/2017 17:30,18.1,62.42,0.089,73.8,83.3,35775.18987,21793.31307,22108.91566
9/17/2017 0:00,17.37,61.39,4.923,0.055,0.1,32227.9646,17479.83368,16138.5904
4/11/2017 8:50,15.43,78.5,0.072,124.7,116.5,29240.21529,17545.41752,15133.09091
2/11/2017 6:00,11.94,77.1,4.919,0.033,0.148,24077.28814,14731.91489,14495.51759
5/4/2017 17:50,21.98,46.88,0.083,356.0,383.4,35063.60656,21061.30031,17717.24696
12/27/2017 15:20,16.27,52.1,0.081,168.8,170.0,32486.69202,27582.69408,10596.87875
10/3/2017 4:00,19.64,60.55,4.929,0.11,0.078,26159.47484,15423.23651,11572.5228
2/27/2017 11:40,15.97,59.58,0.083,618.8,80.0,33821.69492,21169.60486,16018.01005
10/28/2017 13:40,20.84,64.54,4.921,593.1,62.34,31472.03501,26634.0249,12214.46809
6/21/2017 20:00,26.65,36.99,4.919,63.29,70.9,45113.64238,27250.72765,28752.73846
5/16/2017 19:50,20.22,64.75,4.919,22.89,20.94,46205.90164,27934.36533,26438.8664
6/22/2017 5:20,18.16,63.41,4.916,0.044,0.115,24044.50331,15215.80042,13168.24615
3/31/2017 1:20,17.02,81.2,0.079,0.051,0.145,24755.74468,14571.95122,15096.77419
9/29/2017 10:00,19.89,82.7,4.915,485.1,74.7,35713.27434,24271.93347,9496.057201
2/15/2017 18:40,14.29,74.2,0.082,9.01,9.12,42010.16949,27279.02736,24689.84925
5/27/2017 10:50,20.86,78.4,4.925,731.0,378.0,31500.59016,20073.06502,14942.18623
2/6/2017 19:50,9.95,49.95,0.089,0.055,0.078,41442.71186,24733.1307,24915.61809
7/1/2017 0:20,21.03,70.5,4.918,0.091,0.096,34751.36213,23016.4557,27372.05021
3/17/2017 11:30,13.61,74.0,0.075,247.3,236.7,35564.93617,22536.58537,16455.48387
3/24/2017 13:40,15.79,60.03,0.084,827.0,216.4,31998.6383,21676.82927,15909.67742
6/27/2017 1:30,20.88,89.3,4.916,0.069,0.126,28971.65563,17973.80457,22201.10769
10/14/2017 15:40,22.63,70.0,0.094,350.7,91.8,34465.47046,21775.51867,13019.81763
11/19/2017 22:50,15.31,68.05,0.082,0.04,0.085,30824.61538,25170.24793,13966.26506
9/13/2017 2:20,21.17,61.82,0.273,0.08,0.096,27901.59292,16854.88565,13761.63432
4/11/2017 8:10,15.29,78.5,0.071,124.2,110.9,26140.10764,16548.26884,13399.27273
8/8/2017 1:40,26.08,86.6,4.909,0.11,0.141,33549.92231,23983.52693,25140.56426
12/25/2017 15:40,18.16,47.24,0.078,310.4,63.51,31738.40304,26603.25253,9795.918367
4/10/2017 9:10,15.04,84.4,0.076,132.6,125.4,30362.45425,18230.95723,15284.36364
5/3/2017 22:30,20.92,66.75,0.077,0.055,0.178,37292.06557,23052.63158,22870.93117
1/8/2017 7:20,13.66,69.15,0.086,0.037,0.156,19692.1519,11981.76292,11895.90361
1/14/2017 18:40,16.59,64.85,0.076,0.534,0.63,42215.6962,25779.93921,25734.93976
8/11/2017 16:40,35.4,19.74,4.903,502.1,149.0,37890.69922,27241.39388,26717.49216
4/12/2017 12:30,16.83,82.5,0.079,306.9,278.4,35533.4338,20316.90428,19130.18182
6/20/2017 20:20,23.47,71.8,0.071,13.59,11.58,47758.4106,27089.81289,29189.90769
3/18/2017 16:20,11.53,88.3,0.083,62.15,57.49,31581.95745,18782.92683,16229.03226
6/7/2017 2:40,19.92,89.1,0.068,0.037,0.185,38756.02649,23766.73597,23288.12308
2/23/2017 17:40,15.55,71.2,4.913,66.48,66.64,34627.11864,21377.5076,17048.44221
9/12/2017 19:00,23.51,50.15,0.271,46.78,49.95,46819.11504,28444.49064,21527.92646
2/14/2017 20:30,15.39,63.49,0.081,0.04,0.126,38355.25424,29354.40729,25720.28141
5/1/2017 12:10,25.0,41.37,0.074,871.0,54.92,32633.70492,19292.87926,18311.90283
7/2/2017 1:00,22.14,70.8,4.919,0.121,0.059,32416.74419,20874.68354,26154.97908
5/5/2017 13:30,25.84,33.53,4.922,890.0,51.68,34748.85246,23093.49845,17169.23077
6/5/2017 12:40,23.64,67.56,0.07,825.0,376.9,36034.96689,20357.58836,17539.93846
1/28/2017 9:30,12.06,52.72,0.085,175.9,30.44,28684.55696,17620.66869,13648.19277
11/14/2017 3:10,18.75,73.6,0.07,0.066,0.089,21950.76923,17010.7438,11439.03614
1/7/2017 12:40,14.86,66.21,0.083,345.1,96.7,33946.32911,21738.60182,17349.39759
4/7/2017 4:40,13.7,84.2,4.926,0.062,0.122,24937.26588,13787.78004,16448.0
12/29/2017 8:10,11.1,52.64,0.078,0.908,0.901,23105.70342,19345.8116,7197.118848
4/24/2017 11:40,19.89,59.07,0.089,580.4,317.7,36116.25404,21233.40122,18030.54545
